1/1/1,48/11/13
3c/1/7,47/12/11
3c/1/8,47/12/12
3c/1/9,47/12/13
3c/1/a,47/12/14
3c/1/b,47/12/15
3c/1/c,47/12/16
3c/1/d,47/12/17
3c/1/e,47/12/18
3c/1/f,47/12/19
3c/1/10,47/12/20
3c/1/11,47/12/21
3c/1/12,47/12/22
3c/1/13,47/12/23
3c/1/14,47/12/24
3c/1/15,47/12/25
3c/1/16,47/12/26
3c/1/17,47/12/27
3c/1/18,47/12/28
3c/1/19,47/12/29
3c/1/1a,47/12/30
3c/1/1b,47/1/1
3c/1/1c,47/1/2
3c/1/1d,47/1/3
3c/1/1e,47/1/4
3c/1/1f,47/1/5
3c/2/1,47/1/6
3c/2/2,47/1/7
3c/2/3,47/1/8
3c/2/4,48/1/9
3c/2/5,48/1/10
3c/2/6,48/1/11
3c/2/7,48/1/12
3c/2/8,48/1/13
3c/2/9,48/1/14
3c/2/a,48/1/15
3c/2/b,48/1/16
3c/2/c,48/1/17
3c/2/d,48/1/18
3c/2/e,48/1/19
3c/2/f,48/1/20
3c/2/10,48/1/21
3c/2/11,48/1/22
3c/2/12,48/1/23
3c/2/13,48/1/24
3c/2/14,48/1/25
3c/2/15,48/1/26
3c/2/16,48/1/27
3c/2/17,48/1/28
3c/2/18,48/1/29
3c/2/19,48/2/1
3c/2/1a,48/2/2
3c/2/1b,48/2/3
3c/2/1c,48/2/4
3c/3/1,48/2/5
3c/3/2,48/2/6
3c/3/3,48/2/7
3c/3/4,48/2/8
3c/3/5,48/2/9
3c/3/6,48/2/10
3c/3/7,48/2/11
3c/3/8,48/2/12
3c/3/9,48/2/13
3c/3/a,48/2/14
3c/3/b,48/2/15
3c/3/c,48/2/16
3c/3/d,48/2/17
3c/3/e,48/2/18
3c/3/f,48/2/19
3c/3/10,48/2/20
3c/3/11,48/2/21
3c/3/12,48/2/22
3c/3/13,48/2/23
3c/3/14,48/2/24
3c/3/15,48/2/25
3c/3/16,48/2/26
3c/3/17,48/2/27
3c/3/18,48/2/28
3c/3/19,48/2/29
3c/3/1a,48/2/30
3c/3/1b,48/3/1
3c/3/1c,48/3/2
3c/3/1d,48/3/3
3c/3/1e,48/3/4
3c/3/1f,48/3/5
3c/4/1,48/3/6
3c/4/2,48/3/7
3c/4/3,48/3/8
3c/4/4,48/3/9
3c/4/5,48/3/10
3c/4/6,48/3/11
3c/4/7,48/3/12
3c/4/8,48/3/13
3c/4/9,48/3/14
3c/4/a,48/3/15
3c/4/b,48/3/16
3c/4/c,48/3/17
3c/4/d,48/3/18
3c/4/e,48/3/19
3c/4/f,48/3/20
3c/4/10,48/3/21
3c/4/11,48/3/22
3c/4/12,48/3/23
3c/4/13,48/3/24
3c/4/14,48/3/25
3c/4/15,48/3/26
3c/4/16,48/3/27
3c/4/17,48/3/28
3c/4/18,48/3/29
3c/4/19,48/4/1
3c/4/1a,48/4/2
3c/4/1b,48/4/3
3c/4/1c,48/4/4
3c/4/1d,48/4/5
3c/4/1e,48/4/6
3c/5/1,48/4/7
3c/5/2,48/4/8
3c/5/3,48/4/9
3c/5/4,48/4/10
3c/5/5,48/4/11
3c/5/6,48/4/12
3c/5/7,48/4/13
3c/5/8,48/4/14
3c/5/9,48/4/15
3c/5/a,48/4/16
3c/5/b,48/4/17
3c/5/c,48/4/18
3c/5/d,48/4/19
3c/5/e,48/4/20
3c/5/f,48/4/21
3c/5/10,48/4/22
3c/5/11,48/4/23
3c/5/12,48/4/24
3c/5/13,48/4/25
3c/5/14,48/4/26
3c/5/15,48/4/27
3c/5/16,48/4/28
3c/5/17,48/4/29
3c/5/18,48/5/1
3c/5/19,48/5/2
3c/5/1a,48/5/3
3c/5/1b,48/5/4
3c/5/1c,48/5/5
3c/5/1d,48/5/6
3c/5/1e,48/5/7
3c/5/1f,48/5/8
3c/6/1,48/5/9
3c/6/2,48/5/10
3c/6/3,48/5/11
3c/6/4,48/5/12
3c/6/5,48/5/13
3c/6/6,48/5/14
3c/6/7,48/5/15
3c/6/8,48/5/16
3c/6/9,48/5/17
3c/6/a,48/5/18
3c/6/b,48/5/19
3c/6/c,48/5/20
3c/6/d,48/5/21
3c/6/e,48/5/22
3c/6/f,48/5/23
3c/6/10,48/5/24
3c/6/11,48/5/25
3c/6/12,48/5/26
3c/6/13,48/5/27
3c/6/14,48/5/28
3c/6/15,48/5/29
3c/6/16,48/5/30
3c/6/17,48/R5/1
3c/6/18,48/R5/2
3c/6/19,48/R5/3
3c/6/1a,48/R5/4
3c/6/1b,48/R5/5
3c/6/1c,48/R5/6
3c/6/1d,48/R5/7
3c/6/1e,48/R5/8
3c/7/1,48/R5/9
3c/7/2,48/R5/10
3c/7/3,48/R5/11
3c/7/4,48/R5/12
3c/7/5,48/R5/13
3c/7/6,48/R5/14
3c/7/7,48/R5/15
3c/7/8,48/R5/16
3c/7/9,48/R5/17
3c/7/a,48/R5/18
3c/7/b,48/R5/19
3c/7/c,48/R5/20
3c/7/d,48/R5/21
3c/7/e,48/R5/22
3c/7/f,48/R5/23
3c/7/10,48/R5/24
3c/7/11,48/R5/25
3c/7/12,48/R5/26
3c/7/13,48/R5/27
3c/7/14,48/R5/28
3c/7/15,48/R5/29
3c/7/16,48/6/1
3c/7/17,48/6/2
3c/7/18,48/6/3
3c/7/19,48/6/4
3c/7/1a,48/6/5
3c/7/1b,48/6/6
3c/7/1c,48/6/7
3c/7/1d,48/6/8
3c/7/1e,48/6/9
3c/7/1f,48/6/10
3c/8/1,48/6/11
3c/8/2,48/6/12
3c/8/3,48/6/13
3c/8/4,48/6/14
3c/8/5,48/6/15
3c/8/6,48/6/16
3c/8/7,48/6/17
3c/8/8,48/6/18
3c/8/9,48/6/19
3c/8/a,48/6/20
3c/8/b,48/6/21
3c/8/c,48/6/22
3c/8/d,48/6/23
3c/8/e,48/6/24
3c/8/f,48/6/25
3c/8/10,48/6/26
3c/8/11,48/6/27
3c/8/12,48/6/28
3c/8/13,48/6/29
3c/8/14,48/6/30
3c/8/15,48/7/1
3c/8/16,48/7/2
3c/8/17,48/7/3
3c/8/18,48/7/4
3c/8/19,48/7/5
3c/8/1a,48/7/6
3c/8/1b,48/7/7
3c/8/1c,48/7/8
3c/8/1d,48/7/9
3c/8/1e,48/7/10
3c/8/1f,48/7/11
3c/9/1,48/7/12
3c/9/2,48/7/13
3c/9/3,48/7/14
3c/9/4,48/7/15
3c/9/5,48/7/16
3c/9/6,48/7/17
3c/9/7,48/7/18
3c/9/8,48/7/19
3c/9/9,48/7/20
3c/9/a,48/7/21
3c/9/b,48/7/22
3c/9/c,48/7/23
3c/9/d,48/7/24
3c/9/e,48/7/25
3c/9/f,48/7/26
3c/9/10,48/7/27
3c/9/11,48/7/28
3c/9/12,48/7/29
3c/9/13,48/8/1
3c/9/14,48/8/2
3c/9/15,48/8/3
3c/9/16,48/8/4
3c/9/17,48/8/5
3c/9/18,48/8/6
3c/9/19,48/8/7
3c/9/1a,48/8/8
3c/9/1b,48/8/9
3c/9/1c,48/8/10
3c/9/1d,48/8/11
3c/9/1e,48/8/12
3c/a/1,48/8/13
3c/a/2,48/8/14
3c/a/3,48/8/15
3c/a/4,48/8/16
3c/a/5,48/8/17
3c/a/6,48/8/18
3c/a/7,48/8/19
3c/a/8,48/8/20
3c/a/9,48/8/21
3c/a/a,48/8/22
3c/a/b,48/8/23
3c/a/c,48/8/24
3c/a/d,48/8/25
3c/a/e,48/8/26
3c/a/f,48/8/27
3c/a/10,48/8/28
3c/a/11,48/8/29
3c/a/12,48/8/30
3c/a/13,48/9/1
3c/a/14,48/9/2
3c/a/15,48/9/3
3c/a/16,48/9/4
3c/a/17,48/9/5
3c/a/18,48/9/6
3c/a/19,48/9/7
3c/a/1a,48/9/8
3c/a/1b,48/9/9
3c/a/1c,48/9/10
3c/a/1d,48/9/11
3c/a/1e,48/9/12
3c/a/1f,48/9/13
3c/b/1,48/9/14
3c/b/2,48/9/15
3c/b/3,48/9/16
3c/b/4,48/9/17
3c/b/5,48/9/18
3c/b/6,48/9/19
3c/b/7,48/9/20
3c/b/8,48/9/21
3c/b/9,48/9/22
3c/b/a,48/9/23
3c/b/b,48/9/24
3c/b/c,48/9/25
3c/b/d,48/9/26
3c/b/e,48/9/27
3c/b/f,48/9/28
3c/b/10,48/9/29
3c/b/11,48/9/30
3c/b/12,48/10/1
3c/b/13,48/10/2
3c/b/14,48/10/3
3c/b/15,48/10/4
3c/b/16,48/10/5
3c/b/17,48/10/6
3c/b/18,48/10/7
3c/b/19,48/10/8
3c/b/1a,48/10/9
3c/b/1b,48/10/10
3c/b/1c,48/10/11
3c/b/1d,48/10/12
3c/b/1e,48/10/13
3c/c/1,48/10/14
3c/c/2,48/10/15
3c/c/3,48/10/16
3c/c/4,48/10/17
3c/c/5,48/10/18
3c/c/6,48/10/19
3c/c/7,48/10/20
3c/c/8,48/10/21
3c/c/9,48/10/22
3c/c/a,48/10/23
3c/c/b,48/10/24
3c/c/c,48/10/25
3c/c/d,48/10/26
3c/c/e,48/10/27
3c/c/f,48/10/28
3c/c/10,48/10/29
3c/c/11,48/10/30
3c/c/12,48/11/1
3c/c/13,48/11/2
3c/c/14,48/11/3
3c/c/15,48/11/4
3c/c/16,48/11/5
3c/c/17,48/11/6
3c/c/18,48/11/7
3c/c/19,48/11/8
3c/c/1a,48/11/9
3c/c/1b,48/11/10
3c/c/1c,48/11/11
3c/c/1d,48/11/12
3c/c/1e,48/11/13
3c/c/1f,48/11/14
3d/1/1,48/11/15
3d/1/2,48/11/16
3d/1/3,48/11/17
3d/1/4,48/11/18
3d/1/5,48/11/19
3d/1/6,48/11/20
3d/1/7,48/11/21
3d/1/8,48/11/22
3d/1/9,48/11/23
3d/1/a,48/11/24
3d/1/b,48/11/25
3d/1/c,48/11/26
3d/1/d,48/11/27
3d/1/e,48/11/28
3d/1/f,48/11/29
3d/1/10,48/12/1
3d/1/11,48/12/2
3d/1/12,48/12/3
3d/1/13,48/12/4
3d/1/14,48/12/5
3d/1/15,48/12/6
3d/1/16,48/12/7
3d/1/17,48/12/8
3d/1/18,48/12/9
3d/1/19,48/12/10
3d/1/1a,48/12/11
3d/1/1b,48/12/12
3d/1/1c,48/12/13
3d/1/1d,48/12/14
3d/1/1e,48/12/15
3d/1/1f,48/12/16
3d/2/1,48/12/17
3d/2/2,48/12/18
3d/2/3,48/12/19
3d/2/4,48/12/20
3d/2/5,49/12/21
3d/2/6,49/12/22
3d/2/7,49/12/23
3d/2/8,49/12/24
3d/2/9,49/12/25
3d/2/a,49/12/26
3d/2/b,49/12/27
3d/2/c,49/12/28
3d/2/d,49/12/29
3d/2/e,49/12/30
3d/2/f,49/1/1
3d/2/10,49/1/2
3d/2/11,49/1/3
3d/2/12,49/1/4
3d/2/13,49/1/5
3d/2/14,49/1/6
3d/2/15,49/1/7
3d/2/16,49/1/8
3d/2/17,49/1/9
3d/2/18,49/1/10
3d/2/19,49/1/11
3d/2/1a,49/1/12
3d/2/1b,49/1/13
3d/2/1c,49/1/14
3d/2/1d,49/1/15
3d/3/1,49/1/16
3d/3/2,49/1/17
3d/3/3,49/1/18
3d/3/4,49/1/19
3d/3/5,49/1/20
3d/3/6,49/1/21
3d/3/7,49/1/22
3d/3/8,49/1/23
3d/3/9,49/1/24
3d/3/a,49/1/25
3d/3/b,49/1/26
3d/3/c,49/1/27
3d/3/d,49/1/28
3d/3/e,49/1/29
3d/3/f,49/2/1
3d/3/10,49/2/2
3d/3/11,49/2/3
3d/3/12,49/2/4
3d/3/13,49/2/5
3d/3/14,49/2/6
3d/3/15,49/2/7
3d/3/16,49/2/8
3d/3/17,49/2/9
3d/3/18,49/2/10
3d/3/19,49/2/11
3d/3/1a,49/2/12
3d/3/1b,49/2/13
3d/3/1c,49/2/14
3d/3/1d,49/2/15
3d/3/1e,49/2/16
3d/3/1f,49/2/17
3d/4/1,49/2/18
3d/4/2,49/2/19
3d/4/3,49/2/20
3d/4/4,49/2/21
3d/4/5,49/2/22
3d/4/6,49/2/23
3d/4/7,49/2/24
3d/4/8,49/2/25
3d/4/9,49/2/26
3d/4/a,49/2/27
3d/4/b,49/2/28
3d/4/c,49/2/29
3d/4/d,49/2/30
3d/4/e,49/3/1
3d/4/f,49/3/2
3d/4/10,49/3/3
3d/4/11,49/3/4
3d/4/12,49/3/5
3d/4/13,49/3/6
3d/4/14,49/3/7
3d/4/15,49/3/8
3d/4/16,49/3/9
3d/4/17,49/3/10
3d/4/18,49/3/11
3d/4/19,49/3/12
3d/4/1a,49/3/13
3d/4/1b,49/3/14
3d/4/1c,49/3/15
3d/4/1d,49/3/16
3d/4/1e,49/3/17
3d/5/1,49/3/18
3d/5/2,49/3/19
3d/5/3,49/3/20
3d/5/4,49/3/21
3d/5/5,49/3/22
3d/5/6,49/3/23
3d/5/7,49/3/24
3d/5/8,49/3/25
3d/5/9,49/3/26
3d/5/a,49/3/27
3d/5/b,49/3/28
3d/5/c,49/3/29
3d/5/d,49/4/1
3d/5/e,49/4/2
3d/5/f,49/4/3
3d/5/10,49/4/4
3d/5/11,49/4/5
3d/5/12,49/4/6
3d/5/13,49/4/7
3d/5/14,49/4/8
3d/5/15,49/4/9
3d/5/16,49/4/10
3d/5/17,49/4/11
3d/5/18,49/4/12
3d/5/19,49/4/13
3d/5/1a,49/4/14
3d/5/1b,49/4/15
3d/5/1c,49/4/16
3d/5/1d,49/4/17
3d/5/1e,49/4/18
3d/5/1f,49/4/19
3d/6/1,49/4/20
3d/6/2,49/4/21
3d/6/3,49/4/22
3d/6/4,49/4/23
3d/6/5,49/4/24
3d/6/6,49/4/25
3d/6/7,49/4/26
3d/6/8,49/4/27
3d/6/9,49/4/28
3d/6/a,49/4/29
3d/6/b,49/5/1
3d/6/c,49/5/2
3d/6/d,49/5/3
3d/6/e,49/5/4
3d/6/f,49/5/5
3d/6/10,49/5/6
3d/6/11,49/5/7
3d/6/12,49/5/8
3d/6/13,49/5/9
3d/6/14,49/5/10
3d/6/15,49/5/11
3d/6/16,49/5/12
3d/6/17,49/5/13
3d/6/18,49/5/14
3d/6/19,49/5/15
3d/6/1a,49/5/16
3d/6/1b,49/5/17
3d/6/1c,49/5/18
3d/6/1d,49/5/19
3d/6/1e,49/5/20
3d/7/1,49/5/21
3d/7/2,49/5/22
3d/7/3,49/5/23
3d/7/4,49/5/24
3d/7/5,49/5/25
3d/7/6,49/5/26
3d/7/7,49/5/27
3d/7/8,49/5/28
3d/7/9,49/5/29
3d/7/a,49/5/30
3d/7/b,49/6/1
3d/7/c,49/6/2
3d/7/d,49/6/3
3d/7/e,49/6/4
3d/7/f,49/6/5
3d/7/10,49/6/6
3d/7/11,49/6/7
3d/7/12,49/6/8
3d/7/13,49/6/9
3d/7/14,49/6/10
3d/7/15,49/6/11
3d/7/16,49/6/12
3d/7/17,49/6/13
3d/7/18,49/6/14
3d/7/19,49/6/15
3d/7/1a,49/6/16
3d/7/1b,49/6/17
3d/7/1c,49/6/18
3d/7/1d,49/6/19
3d/7/1e,49/6/20
3d/7/1f,49/6/21
3d/8/1,49/6/22
3d/8/2,49/6/23
3d/8/3,49/6/24
3d/8/4,49/6/25
3d/8/5,49/6/26
3d/8/6,49/6/27
3d/8/7,49/6/28
3d/8/8,49/6/29
3d/8/9,49/7/1
3d/8/a,49/7/2
3d/8/b,49/7/3
3d/8/c,49/7/4
3d/8/d,49/7/5
3d/8/e,49/7/6
3d/8/f,49/7/7
3d/8/10,49/7/8
3d/8/11,49/7/9
3d/8/12,49/7/10
3d/8/13,49/7/11
3d/8/14,49/7/12
3d/8/15,49/7/13
3d/8/16,49/7/14
3d/8/17,49/7/15
3d/8/18,49/7/16
3d/8/19,49/7/17
3d/8/1a,49/7/18
3d/8/1b,49/7/19
3d/8/1c,49/7/20
3d/8/1d,49/7/21
3d/8/1e,49/7/22
3d/8/1f,49/7/23
3d/9/1,49/7/24
3d/9/2,49/7/25
3d/9/3,49/7/26
3d/9/4,49/7/27
3d/9/5,49/7/28
3d/9/6,49/7/29
3d/9/7,49/7/30
3d/9/8,49/8/1
3d/9/9,49/8/2
3d/9/a,49/8/3
3d/9/b,49/8/4
3d/9/c,49/8/5
3d/9/d,49/8/6
3d/9/e,49/8/7
3d/9/f,49/8/8
3d/9/10,49/8/9
3d/9/11,49/8/10
3d/9/12,49/8/11
3d/9/13,49/8/12
3d/9/14,49/8/13
3d/9/15,49/8/14
3d/9/16,49/8/15
3d/9/17,49/8/16
3d/9/18,49/8/17
3d/9/19,49/8/18
3d/9/1a,49/8/19
3d/9/1b,49/8/20
3d/9/1c,49/8/21
3d/9/1d,49/8/22
3d/9/1e,49/8/23
3d/a/1,49/8/24
3d/a/2,49/8/25
3d/a/3,49/8/26
3d/a/4,49/8/27
3d/a/5,49/8/28
3d/a/6,49/8/29
3d/a/7,49/9/1
3d/a/8,49/9/2
3d/a/9,49/9/3
3d/a/a,49/9/4
3d/a/b,49/9/5
3d/a/c,49/9/6
3d/a/d,49/9/7
3d/a/e,49/9/8
3d/a/f,49/9/9
3d/a/10,49/9/10
3d/a/11,49/9/11
3d/a/12,49/9/12
3d/a/13,49/9/13
3d/a/14,49/9/14
3d/a/15,49/9/15
3d/a/16,49/9/16
3d/a/17,49/9/17
3d/a/18,49/9/18
3d/a/19,49/9/19
3d/a/1a,49/9/20
3d/a/1b,49/9/21
3d/a/1c,49/9/22
3d/a/1d,49/9/23
3d/a/1e,49/9/24
3d/a/1f,49/9/25
3d/b/1,49/9/26
3d/b/2,49/9/27
3d/b/3,49/9/28
3d/b/4,49/9/29
3d/b/5,49/9/30
3d/b/6,49/10/1
3d/b/7,49/10/2
3d/b/8,49/10/3
3d/b/9,49/10/4
3d/b/a,49/10/5
3d/b/b,49/10/6
3d/b/c,49/10/7
3d/b/d,49/10/8
3d/b/e,49/10/9
3d/b/f,49/10/10
3d/b/10,49/10/11
3d/b/11,49/10/12
3d/b/12,49/10/13
3d/b/13,49/10/14
3d/b/14,49/10/15
3d/b/15,49/10/16
3d/b/16,49/10/17
3d/b/17,49/10/18
3d/b/18,49/10/19
3d/b/19,49/10/20
3d/b/1a,49/10/21
3d/b/1b,49/10/22
3d/b/1c,49/10/23
3d/b/1d,49/10/24
3d/b/1e,49/10/25
3d/c/1,49/10/26
3d/c/2,49/10/27
3d/c/3,49/10/28
3d/c/4,49/10/29
3d/c/5,49/10/30
3d/c/6,49/11/1
3d/c/7,49/11/2
3d/c/8,49/11/3
3d/c/9,49/11/4
3d/c/a,49/11/5
3d/c/b,49/11/6
3d/c/c,49/11/7
3d/c/d,49/11/8
3d/c/e,49/11/9
3d/c/f,49/11/10
3d/c/10,49/11/11
3d/c/11,49/11/12
3d/c/12,49/11/13
3d/c/13,49/11/14
3d/c/14,49/11/15
3d/c/15,49/11/16
3d/c/16,49/11/17
3d/c/17,49/11/18
3d/c/18,49/11/19
3d/c/19,49/11/20
3d/c/1a,49/11/21
3d/c/1b,49/11/22
3d/c/1c,49/11/23
3d/c/1d,49/11/24
3d/c/1e,49/11/25
3d/c/1f,49/11/26
3e/1/1,49/11/27
3e/1/2,49/11/28
3e/1/3,49/11/29
3e/1/4,49/12/1
3e/1/5,49/12/2
3e/1/6,49/12/3
3e/1/7,49/12/4
3e/1/8,49/12/5
3e/1/9,49/12/6
3e/1/a,49/12/7
3e/1/b,49/12/8
3e/1/c,49/12/9
3e/1/d,49/12/10
3e/1/e,49/12/11
3e/1/f,49/12/12
3e/1/10,49/12/13
3e/1/11,49/12/14
3e/1/12,49/12/15
3e/1/13,49/12/16
3e/1/14,49/12/17
3e/1/15,49/12/18
3e/1/16,49/12/19
3e/1/17,49/12/20
3e/1/18,49/12/21
3e/1/19,49/12/22
3e/1/1a,49/12/23
3e/1/1b,49/12/24
3e/1/1c,49/12/25
3e/1/1d,49/12/26
3e/1/1e,49/12/27
3e/1/1f,49/12/28
3e/2/1,49/12/29
3e/2/2,49/12/30
3e/2/3,49/1/1
3e/2/4,50/1/2
3e/2/5,50/1/3
3e/2/6,50/1/4
3e/2/7,50/1/5
3e/2/8,50/1/6
3e/2/9,50/1/7
3e/2/a,50/1/8
3e/2/b,50/1/9
3e/2/c,50/1/10
3e/2/d,50/1/11
3e/2/e,50/1/12
3e/2/f,50/1/13
3e/2/10,50/1/14
3e/2/11,50/1/15
3e/2/12,50/1/16
3e/2/13,50/1/17
3e/2/14,50/1/18
3e/2/15,50/1/19
3e/2/16,50/1/20
3e/2/17,50/1/21
3e/2/18,50/1/22
3e/2/19,50/1/23
3e/2/1a,50/1/24
3e/2/1b,50/1/25
3e/2/1c,50/1/26
3e/3/1,50/1/27
3e/3/2,50/1/28
3e/3/3,50/1/29
3e/3/4,50/1/30
3e/3/5,50/2/1
3e/3/6,50/2/2
3e/3/7,50/2/3
3e/3/8,50/2/4
3e/3/9,50/2/5
3e/3/a,50/2/6
3e/3/b,50/2/7
3e/3/c,50/2/8
3e/3/d,50/2/9
3e/3/e,50/2/10
3e/3/f,50/2/11
3e/3/10,50/2/12
3e/3/11,50/2/13
3e/3/12,50/2/14
3e/3/13,50/2/15
3e/3/14,50/2/16
3e/3/15,50/2/17
3e/3/16,50/2/18
3e/3/17,50/2/19
3e/3/18,50/2/20
3e/3/19,50/2/21
3e/3/1a,50/2/22
3e/3/1b,50/2/23
3e/3/1c,50/2/24
3e/3/1d,50/2/25
3e/3/1e,50/2/26
3e/3/1f,50/2/27
3e/4/1,50/2/28
3e/4/2,50/2/29
3e/4/3,50/3/1
3e/4/4,50/3/2
3e/4/5,50/3/3
3e/4/6,50/3/4
3e/4/7,50/3/5
3e/4/8,50/3/6
3e/4/9,50/3/7
3e/4/a,50/3/8
3e/4/b,50/3/9
3e/4/c,50/3/10
3e/4/d,50/3/11
3e/4/e,50/3/12
3e/4/f,50/3/13
3e/4/10,50/3/14
3e/4/11,50/3/15
3e/4/12,50/3/16
3e/4/13,50/3/17
3e/4/14,50/3/18
3e/4/15,50/3/19
3e/4/16,50/3/20
3e/4/17,50/3/21
3e/4/18,50/3/22
3e/4/19,50/3/23
3e/4/1a,50/3/24
3e/4/1b,50/3/25
3e/4/1c,50/3/26
3e/4/1d,50/3/27
3e/4/1e,50/3/28
3e/5/1,50/3/29
3e/5/2,50/3/30
3e/5/3,50/4/1
3e/5/4,50/4/2
3e/5/5,50/4/3
3e/5/6,50/4/4
3e/5/7,50/4/5
3e/5/8,50/4/6
3e/5/9,50/4/7
3e/5/a,50/4/8
3e/5/b,50/4/9
3e/5/c,50/4/10
3e/5/d,50/4/11
3e/5/e,50/4/12
3e/5/f,50/4/13
3e/5/10,50/4/14
3e/5/11,50/4/15
3e/5/12,50/4/16
3e/5/13,50/4/17
3e/5/14,50/4/18
3e/5/15,50/4/19
3e/5/16,50/4/20
3e/5/17,50/4/21
3e/5/18,50/4/22
3e/5/19,50/4/23
3e/5/1a,50/4/24
3e/5/1b,50/4/25
3e/5/1c,50/4/26
3e/5/1d,50/4/27
3e/5/1e,50/4/28
3e/5/1f,50/4/29
3e/6/1,50/5/1
3e/6/2,50/5/2
3e/6/3,50/5/3
3e/6/4,50/5/4
3e/6/5,50/5/5
3e/6/6,50/5/6
3e/6/7,50/5/7
3e/6/8,50/5/8
3e/6/9,50/5/9
3e/6/a,50/5/10
3e/6/b,50/5/11
3e/6/c,50/5/12
3e/6/d,50/5/13
3e/6/e,50/5/14
3e/6/f,50/5/15
3e/6/10,50/5/16
3e/6/11,50/5/17
3e/6/12,50/5/18
3e/6/13,50/5/19
3e/6/14,50/5/20
3e/6/15,50/5/21
3e/6/16,50/5/22
3e/6/17,50/5/23
3e/6/18,50/5/24
3e/6/19,50/5/25
3e/6/1a,50/5/26
3e/6/1b,50/5/27
3e/6/1c,50/5/28
3e/6/1d,50/5/29
3e/6/1e,50/6/1
3e/7/1,50/6/2
3e/7/2,50/6/3
3e/7/3,50/6/4
3e/7/4,50/6/5
3e/7/5,50/6/6
3e/7/6,50/6/7
3e/7/7,50/6/8
3e/7/8,50/6/9
3e/7/9,50/6/10
3e/7/a,50/6/11
3e/7/b,50/6/12
3e/7/c,50/6/13
3e/7/d,50/6/14
3e/7/e,50/6/15
3e/7/f,50/6/16
3e/7/10,50/6/17
3e/7/11,50/6/18
3e/7/12,50/6/19
3e/7/13,50/6/20
3e/7/14,50/6/21
3e/7/15,50/6/22
3e/7/16,50/6/23
3e/7/17,50/6/24
3e/7/18,50/6/25
3e/7/19,50/6/26
3e/7/1a,50/6/27
3e/7/1b,50/6/28
3e/7/1c,50/6/29
3e/7/1d,50/6/30
3e/7/1e,50/7/1
3e/7/1f,50/7/2
3e/8/1,50/7/3
3e/8/2,50/7/4
3e/8/3,50/7/5
3e/8/4,50/7/6
3e/8/5,50/7/7
3e/8/6,50/7/8
3e/8/7,50/7/9
3e/8/8,50/7/10
3e/8/9,50/7/11
3e/8/a,50/7/12
3e/8/b,50/7/13
3e/8/c,50/7/14
3e/8/d,50/7/15
3e/8/e,50/7/16
3e/8/f,50/7/17
3e/8/10,50/7/18
3e/8/11,50/7/19
3e/8/12,50/7/20
3e/8/13,50/7/21
3e/8/14,50/7/22
3e/8/15,50/7/23
3e/8/16,50/7/24
3e/8/17,50/7/25
3e/8/18,50/7/26
3e/8/19,50/7/27
3e/8/1a,50/7/28
3e/8/1b,50/7/29
3e/8/1c,50/8/1
3e/8/1d,50/8/2
3e/8/1e,50/8/3
3e/8/1f,50/8/4
3e/9/1,50/8/5
3e/9/2,50/8/6
3e/9/3,50/8/7
3e/9/4,50/8/8
3e/9/5,50/8/9
3e/9/6,50/8/10
3e/9/7,50/8/11
3e/9/8,50/8/12
3e/9/9,50/8/13
3e/9/a,50/8/14
3e/9/b,50/8/15
3e/9/c,50/8/16
3e/9/d,50/8/17
3e/9/e,50/8/18
3e/9/f,50/8/19
3e/9/10,50/8/20
3e/9/11,50/8/21
3e/9/12,50/8/22
3e/9/13,50/8/23
3e/9/14,50/8/24
3e/9/15,50/8/25
3e/9/16,50/8/26
3e/9/17,50/8/27
3e/9/18,50/8/28
3e/9/19,50/8/29
3e/9/1a,50/9/1
3e/9/1b,50/9/2
3e/9/1c,50/9/3
3e/9/1d,50/9/4
3e/9/1e,50/9/5
3e/a/1,50/9/6
3e/a/2,50/9/7
3e/a/3,50/9/8
3e/a/4,50/9/9
3e/a/5,50/9/10
3e/a/6,50/9/11
3e/a/7,50/9/12
3e/a/8,50/9/13
3e/a/9,50/9/14
3e/a/a,50/9/15
3e/a/b,50/9/16
3e/a/c,50/9/17
3e/a/d,50/9/18
3e/a/e,50/9/19
3e/a/f,50/9/20
3e/a/10,50/9/21
3e/a/11,50/9/22
3e/a/12,50/9/23
3e/a/13,50/9/24
3e/a/14,50/9/25
3e/a/15,50/9/26
3e/a/16,50/9/27
3e/a/17,50/9/28
3e/a/18,50/9/29
3e/a/19,50/9/30
3e/a/1a,50/10/1
3e/a/1b,50/10/2
3e/a/1c,50/10/3
3e/a/1d,50/10/4
3e/a/1e,50/10/5
3e/a/1f,50/10/6
3e/b/1,50/10/7
3e/b/2,50/10/8
3e/b/3,50/10/9
3e/b/4,50/10/10
3e/b/5,50/10/11
3e/b/6,50/10/12
3e/b/7,50/10/13
3e/b/8,50/10/14
3e/b/9,50/10/15
3e/b/a,50/10/16
3e/b/b,50/10/17
3e/b/c,50/10/18
3e/b/d,50/10/19
3e/b/e,50/10/20
3e/b/f,50/10/21
3e/b/10,50/10/22
3e/b/11,50/10/23
3e/b/12,50/10/24
3e/b/13,50/10/25
3e/b/14,50/10/26
3e/b/15,50/10/27
3e/b/16,50/10/28
3e/b/17,50/10/29
3e/b/18,50/10/30
3e/b/19,50/11/1
3e/b/1a,50/11/2
3e/b/1b,50/11/3
3e/b/1c,50/11/4
3e/b/1d,50/11/5
3e/b/1e,50/11/6
